respondent,UCLA_index,Q8_disability,NeighborIndex,DiversityDiscussImportant,DiversitySupportive,Q22_marital_satn,Q46_attend_religious,Q39_caregiver,Q30_supportive_num,Q64_yrs_current_residence,Q65_relocate,ethnic,gender,household_size,income,employ,age_group,Q2_health_overall,Q27_11_parents_inperson,Q27_12_parents_email,Q27_13_parents_phone,Q27_14_parents_letters,Q27_15_parents_text,Q27_16_parents_online,Q27_17_parents_SN,Q27_21_child_inperson,Q27_22_child_email,Q27_23_child_phone,Q27_24_child_letters,Q27_25_child_text,Q27_26_child_online,Q27_27_child_SN,Q27_31_sibling_inperson,Q27_32_sibling_email,Q27_33_sibling_phone,Q27_34_sibling_letters,Q27_35_sibling_text,Q27_36_sibling_online,Q27_37_sibling_SN,Q27_41_friend_inperson,Q27_42_friend_email,Q27_43_friend_phone,Q27_44_friend_letters,Q27_45_friend_text,Q27_46_friend_online,Q27_47_friend_SN,Q28_discuss_important_matters_num,passaway_index,moveaway_index,Q38_more_less_friends,Q48_volunteer,Q50_groups,Q53_hobbies,Q77_hrs_alone,Q89_1_internet_sentiment,Q89_2_internet_sentiment,Q89_3_internet_sentiment,Q89_4_internet_sentiment,Q89_5_internet_sentiment,Q89_6_internet_sentiment,Q89_7_internet_sentiment,Q89_8_internet_sentiment,Q89_9_internet_sentiment,Q89_10_internet_sentiment,internet_sentiment_index,Q90_tradeoffs_family,Q91_tradeoffs_intimate_convo
930,46,0,-1.413762907,4,3,3,1,0,4,5,0,3,1,2,17,5,6,5,,,,,,,,5,5,5,2,5,5,1,5,5,5,2,4,3,1,4,4,3,2,3,3,5,7,0,0,2,0,1,3,1,4,3,2,1,3,1,3,3,3,3,26,2,2
931,28,0,-0.77230256,,1,0,6,0,10,5,0,1,1,2,18,5,8,4,,,,,,,,3,4,2,3,1,1,1,2,4,2,3,1,1,1,2,3,2,3,1,1,5,0,0,0,2,0,1,5,4,4,3,5,1,5,3,3,5,3,5,37,2,2
932,28,0,2.011530292,1,1,5,4,0,10,5,0,1,2,2,10,5,8,3,,,,,,,,5,5,5,3,5,5,5,4,4,3,3,4,4,4,5,3,5,3,3,4,2,2,2,2,2,1,3,6,1,4,1,2,3,3,4,3,3,3,3,29,2,3
933,70,0,-4.045972855,1,1,4,1,0,1,4,0,1,1,2,20,1,6,3,4,1,5,1,1,1,1,4,3,,1,4,1,4,3,5,3,1,2,4,4,3,1,2,1,3,3,3,1,0,0,2,0,1,2,3,3,2,3,3,5,4,3,3,3,3,32,2,2
934,31,0,-0.990294023,3,4,0,6,0,10,3,1,4,2,3,16,2,7,4,,,,,,,,5,5,5,2,4,5,5,2,4,5,3,1,4,4,4,5,4,4,1,4,1,4,2,0,2,1,3,7,2,3,1,1,3,4,3,3,4,4,5,31,2,2
935,36,1,-0.130842212,5,2,5,3,0,3,5,0,1,1,2,18,5,6,4,,,,,,,,3,4,5,3,4,1,1,3,3,3,2,1,1,1,4,4,4,2,4,1,5,4,2,1,2,1,2,4,2,4,3,2,1,3,1,2,3,3,4,26,2,2
936,28,0,3.142828083,2,2,5,6,0,15,5,0,1,2,2,11,5,7,4,,,,,,,,5,5,5,1,4,1,5,4,4,5,1,1,1,5,5,4,4,1,1,1,5,2,1,0,2,1,1,3,1,3,3,2,3,2,3,3,3,3,3,28,2,2
937,34,0,-0.348833675,2,3,3,1,0,5,2,3,1,1,2,12,5,7,2,,,,,,,,,,,,,,,3,4,5,1,1,1,1,3,4,3,1,1,1,5,2,0,0,2,0,1,4,1,5,5,4,4,3,3,3,4,4,5,40,2,2
938,40,1,2.229521755,2,3,3,3,0,3,5,0,2,1,1,6,6,6,2,5,5,5,4,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,1,1,0,1,2,1,4,4,4,5,1,5,4,5,5,5,42,3,3
939,33,0,-1.63175437,2,5,5,6,0,50,5,0,1,2,2,13,5,8,5,,,,,,,,4,5,5,1,1,1,5,4,3,4,1,1,1,4,4,4,4,1,1,1,5,3,1,0,3,1,3,6,2,3,1,2,2,1,4,3,1,3,3,23,3,1
940,39,0,-3.186521045,1,1,5,3,1,1,2,1,4,1,4,13,1,6,3,,,,,,,,5,3,5,1,2,5,5,5,5,5,2,5,,5,4,4,4,3,2,5,1,1,1,0,3,0,1,1,1,5,4,4,4,3,4,2,4,2,1,33,1,1
941,38,0,1.370069945,1,2,5,6,1,3,4,0,1,2,5,15,1,5,3,5,1,5,1,1,1,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,5,1,5,1,5,1,5,1,1,1,1,1,1,2,1,3,3,1,3,3,5,1,2,3,5,29,2,2
942,38,0,1.152078482,3,4,5,1,1,7,5,0,1,2,2,9,5,6,4,5,1,4,1,1,1,1,,,,,,,,5,4,3,1,1,1,1,4,3,2,1,1,1,5,4,0,1,1,0,1,7,3,3,3,1,1,3,1,4,4,2,5,27,2,1
943,26,0,-0.348833675,2,1,0,6,0,2,4,0,2,1,1,10,5,7,5,,,,,,,,3,4,4,1,4,4,4,3,1,1,1,1,1,1,5,5,5,5,5,5,1,2,0,0,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,30,2,2
945,30,0,-0.990294023,1,2,2,2,0,2,2,1,4,2,2,11,5,6,3,,,,,,,,5,1,5,1,5,1,5,5,1,4,1,5,5,4,5,3,2,1,5,5,1,2,0,0,2,0,1,2,2,3,3,2,3,5,4,3,3,3,1,30,3,1
946,34,1,0.292626672,3,3,5,2,0,3,2,3,2,2,2,4,5,5,2,,,,,,,,4,5,5,3,5,5,5,3,4,4,3,4,3,4,3,4,4,3,4,3,1,3,1,0,1,0,1,2,1,4,1,3,5,5,5,3,3,3,3,35,3,3
947,61,0,2.229521755,3,3,3,6,0,4,2,2,1,1,2,5,5,6,1,,,,,,,,5,4,4,1,4,4,5,1,2,1,1,1,1,1,5,4,4,1,4,1,2,4,0,1,1,1,1,1,3,1,1,1,2,5,1,5,1,4,4,25,2,2
949,70,0,-3.827981392,2,,3,6,0,0,3,5,1,2,2,18,1,7,4,2,2,3,2,1,1,1,3,3,3,1,4,1,1,2,3,3,2,5,1,1,4,3,3,1,3,1,5,1,,0,2,1,3,2,1,3,1,4,1,4,1,5,1,5,3,28,2,2
950,37,0,2.706845157,3,3,0,6,0,5,2,2,1,2,1,10,1,8,5,,,,,,,,5,4,5,3,4,4,4,1,1,1,1,1,1,1,5,4,5,3,5,4,1,4,1,1,2,1,1,2,6,3,2,1,2,5,1,5,3,1,3,26,2,1
951,54,0,-1.63175437,2,2,2,1,1,2,4,0,5,2,2,5,6,5,3,3,4,5,1,1,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,5,2,0,0,2,0,1,1,5,2,3,3,2,4,4,4,2,2,4,30,1,1
952,41,0,0.728609598,2,3,0,3,0,5,4,0,1,2,1,10,1,7,4,,,,,,,,4,4,4,3,5,2,2,2,3,4,1,2,1,5,1,3,4,2,3,1,2,2,0,1,2,1,4,5,5,4,3,1,5,3,5,3,4,4,4,36,1,2
953,22,0,-2.273214717,2,4,5,2,0,7,4,0,1,2,2,15,5,7,4,,,,,,,,5,1,5,1,4,1,1,5,4,5,1,5,1,1,5,5,5,1,5,1,2,2,1,0,2,1,1,2,1,4,1,3,4,5,4,5,1,3,3,33,2,2
954,31,1,0.510618135,1,3,5,1,0,6,5,0,1,1,2,16,5,7,3,,,,,,,,2,4,,1,5,1,4,2,2,2,1,1,1,1,5,4,5,1,5,1,2,2,1,0,3,1,1,4,3,4,5,3,3,3,5,3,4,4,3,37,2,3
955,58,0,-2.273214717,3,3,5,6,0,5,3,2,4,2,5,11,7,5,4,,,,,,,,5,5,5,1,5,1,1,2,1,3,1,5,1,1,1,1,1,1,1,1,5,8,1,0,1,0,1,2,3,3,3,1,5,1,3,3,2,4,3,28,1,2
956,41,0,2.011530292,3,3,0,3,0,5,5,0,2,1,10,8,1,6,3,,,,,,,,,,,,,,,5,2,5,2,5,2,2,5,4,5,1,4,4,2,5,1,,2,0,1,2,3,4,4,3,4,3,4,3,3,3,4,35,2,2
957,40,1,4.425748778,2,2,4,3,1,2,4,0,2,1,4,11,1,5,5,5,3,5,2,1,3,2,5,5,5,2,5,5,5,3,4,4,1,5,5,4,4,2,2,1,5,4,2,2,1,1,2,0,1,3,1,5,3,3,5,3,5,3,3,1,3,34,1,2
958,25,0,2.229521755,3,4,5,6,0,12,4,0,1,2,2,15,5,7,4,,,,,,,,5,3,5,2,5,4,5,4,3,4,3,5,3,4,4,4,4,2,4,2,3,5,1,0,2,0,2,4,1,3,2,2,5,3,4,5,3,3,4,34,2,2
959,29,0,3.566296968,6,3,5,5,0,5,2,2,1,1,2,15,5,6,3,4,1,5,1,1,1,1,5,5,5,3,5,5,5,4,4,3,2,3,3,4,4,4,3,3,3,4,2,8,0,0,1,1,3,5,1,4,5,2,5,4,5,4,5,4,4,42,2,2
960,21,1,4.425748778,5,5,0,3,0,5,4,0,1,1,1,9,1,6,2,5,1,5,3,5,1,1,5,4,5,3,5,2,1,3,1,3,3,3,3,1,2,1,5,3,5,1,5,5,0,1,2,0,1,1,4,1,1,2,1,5,1,5,1,3,3,23,3,3
961,23,0,2.92483662,1,1,5,6,0,1,5,0,1,1,2,13,1,6,3,5,1,4,1,1,1,1,5,1,5,1,3,1,1,5,1,2,1,2,1,1,5,4,4,1,4,1,2,1,1,0,2,1,1,1,1,4,1,1,4,5,4,5,3,5,5,37,2,2
962,26,0,-0.348833675,3,3,5,2,0,20,4,0,1,1,1,16,1,6,4,,,,,,,,,,,,,,,3,3,3,2,1,1,1,5,4,4,2,4,1,3,10,1,1,2,1,1,5,2,2,1,2,2,2,4,5,3,2,3,26,2,2
963,41,0,2.06538481,2,3,0,1,0,4,5,0,1,2,3,16,5,8,4,,,,,,,,5,5,4,3,1,1,1,2,4,3,3,1,1,1,4,4,4,3,1,1,5,2,1,0,2,0,2,7,3,3,3,4,1,5,1,3,3,3,5,31,2,2
964,78,1,-5.32889355,,,0,1,0,0,4,0,1,1,5,11,7,5,1,4,1,1,1,4,1,1,4,1,1,1,4,1,1,3,1,1,1,4,1,1,1,1,1,1,5,1,5,0,,0,1,0,1,6,6,1,1,4,1,3,1,3,3,5,3,25,2,2
965,23,0,-0.990294023,2,3,5,5,0,2,5,0,2,1,3,18,1,7,4,4,4,4,1,5,5,1,5,5,4,1,5,5,1,5,5,5,1,5,5,1,4,4,4,1,4,4,5,1,3,0,1,0,1,1,1,4,1,2,1,5,1,5,3,4,1,27,1,1
966,50,0,-4.46944174,2,1,0,2,0,2,5,0,1,1,1,5,2,6,4,,,,,,,,,,,,,,,4,4,1,1,4,1,1,5,5,3,1,5,1,3,3,0,0,2,1,1,3,4,2,4,5,1,2,4,2,2,2,3,27,1,1
967,44,0,0.292626672,2,3,5,1,0,5,2,3,1,1,2,18,2,7,4,,,,,,,,4,4,5,1,5,1,5,,,,,,,,5,5,4,1,4,1,1,3,0,0,1,1,4,4,2,4,3,3,3,4,5,4,4,4,5,39,2,2
968,28,1,1.370069945,3,4,0,6,1,10,2,5,1,1,2,11,6,5,3,5,5,5,1,5,1,2,,,,,,,,5,5,5,1,5,3,3,3,3,2,1,3,1,4,3,1,0,1,1,1,7,1,4,1,4,1,5,4,2,5,3,5,34,2,2
969,31,0,1.370069945,3,3,5,6,0,5,4,0,2,1,4,16,2,5,4,5,4,5,1,4,1,1,5,1,1,1,1,1,1,5,5,4,1,5,1,1,4,4,4,2,5,2,4,4,1,1,3,1,,3,1,1,1,5,1,5,1,5,1,5,1,26,2,2
970,48,0,0.305140713,1,1,0,1,0,3,5,0,1,1,1,12,1,5,4,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,5,5,5,3,5,1,5,3,1,0,1,1,3,2,3,3,3,2,3,3,3,3,3,3,4,30,1,2
971,54,0,-0.348833675,1,1,4,3,0,2,2,2,1,2,4,20,7,5,3,5,1,5,2,5,3,3,5,4,5,1,5,4,4,3,3,5,3,5,4,3,4,2,5,1,5,3,3,2,0,0,2,0,1,1,3,3,3,2,3,3,4,2,3,2,4,29,2,2
972,46,0,2.011530292,5,3,5,4,0,13,4,0,4,1,2,8,1,7,4,,,,,,,,5,3,5,3,5,5,5,4,4,2,2,3,3,3,3,4,4,2,4,4,2,30,1,0,3,0,1,2,2,4,4,1,4,3,5,1,4,2,4,32,2,1
973,55,0,-0.130842212,,2,0,6,0,3,5,0,1,2,1,11,1,8,3,,,,,,,,2,3,4,2,1,1,4,1,1,1,1,1,1,1,5,4,4,2,1,1,3,0,3,0,2,1,1,4,5,3,3,1,3,3,3,3,3,4,3,29,2,2
974,29,0,3.566296968,3,5,5,2,0,100,5,0,1,2,2,12,5,7,4,,,,,,,,4,4,4,3,4,1,4,4,4,4,3,5,1,1,5,5,5,3,5,1,2,3,0,0,3,0,1,7,1,2,1,2,2,5,3,5,1,5,5,31,2,2
975,37,0,-0.348833675,4,5,0,6,0,10,5,0,1,1,2,18,1,6,4,4,1,5,3,1,1,1,4,5,5,2,5,1,4,3,4,4,2,4,1,3,5,5,4,2,5,1,3,5,0,0,2,1,2,3,4,3,3,1,1,3,4,5,3,3,5,31,3,2
976,40,0,-0.77230256,2,2,1,6,1,3,5,0,1,1,3,19,5,8,4,,,,,,,,4,4,4,4,4,1,4,,,,,,,,3,3,3,3,3,1,3,4,2,1,2,1,3,3,1,4,1,2,3,3,4,4,4,3,4,32,2,2
977,35,0,-3.827981392,2,2,5,6,1,10,3,2,1,2,3,18,1,6,3,5,1,4,1,5,1,1,,,,,,,,4,1,4,1,4,4,5,4,1,1,1,5,4,1,3,1,0,2,1,1,2,1,3,3,5,2,3,4,5,3,2,4,34,1,2
978,20,0,0.305140713,3,3,5,6,0,10,3,2,1,2,2,12,1,5,4,5,2,5,1,2,3,3,5,5,5,1,5,5,5,5,4,4,1,5,5,5,3,3,2,1,3,2,3,6,0,0,1,1,1,2,1,4,4,1,5,5,5,5,5,1,2,37,2,2
979,59,0,-4.46944174,2,2,0,2,0,3,3,1,1,1,1,6,5,5,3,5,4,4,1,4,1,1,,,,,,,,4,4,4,1,4,1,1,3,3,3,1,3,1,5,3,0,0,2,0,1,7,6,3,4,3,1,4,1,5,3,4,3,31,2,2
980,63,1,-5.32889355,3,3,3,3,0,4,5,0,4,1,4,9,6,5,2,5,5,5,1,1,5,1,5,5,5,1,5,5,5,5,5,4,1,5,5,5,1,3,3,1,2,5,1,4,0,1,1,0,1,2,1,4,4,3,5,3,5,3,3,5,2,37,1,1
981,22,0,0.510618135,3,3,5,1,0,6,5,0,1,1,2,20,5,7,3,,,,,,,,5,5,5,1,1,1,1,5,4,5,1,1,1,1,5,5,5,1,1,1,5,3,2,0,1,0,1,5,1,3,1,1,1,3,1,5,3,5,3,26,2,2
982,54,0,2.06538481,3,1,4,1,0,1,5,0,1,2,2,7,5,7,3,,,,,,,,4,4,4,1,1,4,,5,1,5,1,1,1,1,5,1,5,1,1,1,2,5,2,0,2,0,1,2,3,2,1,2,4,4,4,2,4,2,4,29,1,1
983,73,1,-3.186521045,4,3,5,1,0,3,2,1,2,1,2,18,5,5,1,5,1,5,3,5,1,1,,,,,,,,5,1,5,1,5,2,1,1,1,1,1,1,1,5,2,0,1,2,0,1,1,6,1,1,1,1,1,1,5,1,5,4,21,2,1
984,44,0,2.92483662,1,1,5,5,0,3,5,0,1,1,2,13,5,8,4,,,,,,,,5,5,4,1,1,1,1,2,4,4,2,1,1,1,3,4,4,1,4,1,5,1,1,1,2,1,1,3,1,4,3,4,3,3,3,3,3,3,3,32,2,2
985,60,0,1.000455578,2,2,3,1,0,3,1,1,1,2,2,12,2,5,4,,,,,,,,4,2,5,1,5,5,5,3,1,3,1,5,5,5,3,1,3,1,5,5,1,3,0,0,1,0,1,5,2,4,3,5,5,3,5,3,4,2,3,37,2,1
986,68,0,-4.46944174,3,2,0,1,0,2,4,0,2,1,2,13,1,5,3,5,1,5,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,2,5,3,1,5,1,3,3,0,1,1,0,1,2,2,3,3,5,4,3,4,5,3,3,3,36,1,2
987,32,0,-2.273214717,2,3,0,2,0,8,0,0,1,2,2,8,5,7,3,,,,,,,,5,1,1,1,1,1,4,3,2,4,1,1,4,4,4,3,3,3,4,4,1,3,2,2,3,0,1,1,1,5,4,2,5,5,5,4,4,5,5,44,3,3
988,50,0,-1.63175437,1,2,4,6,0,2,4,0,1,1,2,9,1,6,3,,,,,,,,2,3,3,2,3,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,5,1,1,0,2,0,1,2,1,1,1,5,1,5,1,5,1,5,1,26,2,2
989,21,0,2.011530292,2,3,5,3,0,10,5,0,1,2,2,7,5,7,3,,,,,,,,5,1,5,1,1,1,1,3,1,3,1,1,1,4,5,1,5,1,1,1,2,3,2,0,2,1,3,2,1,4,1,1,5,5,5,5,3,5,5,39,2,2
990,43,0,2.229521755,,,3,3,0,0,5,0,4,1,4,12,1,6,3,4,1,4,1,2,1,3,5,1,5,1,4,1,5,4,1,3,1,1,1,1,1,1,1,1,1,1,5,0,,0,2,0,1,3,3,3,1,1,2,1,5,4,1,5,1,24,2,2
991,53,1,-2.273214717,3,4,5,1,0,5,4,0,3,1,1,20,1,5,3,5,4,5,1,3,1,1,,,,,,,,3,4,4,1,4,2,1,2,3,2,1,2,1,5,3,1,0,2,0,1,6,2,3,3,2,3,3,4,3,3,2,3,29,1,2
992,38,0,2.011530292,2,2,5,2,0,3,5,0,1,1,2,21,1,7,3,,,,,,,,4,4,4,1,4,1,3,2,2,2,2,1,1,1,5,4,3,1,5,1,5,2,0,0,2,1,1,7,2,2,3,1,3,4,4,4,4,3,5,33,2,2
993,56,0,-4.687433203,1,1,5,1,0,1,2,5,1,1,2,10,5,7,5,3,1,3,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,0,0,2,0,1,6,1,1,1,1,1,5,1,5,1,5,1,22,2,2
994,37,0,1.370069945,2,4,5,6,0,4,4,0,1,1,2,18,1,7,3,3,5,4,2,1,5,5,2,4,5,1,4,4,4,5,5,3,2,1,2,1,5,4,4,2,4,1,1,2,0,0,3,0,1,1,1,5,3,3,4,5,4,2,4,5,3,38,2,1
995,40,1,-3.827981392,,3,4,1,0,3,4,0,4,2,1,12,6,7,3,,,,,,,,5,5,5,5,5,5,5,3,2,4,1,4,1,1,2,4,4,1,4,4,2,0,0,0,1,0,1,1,2,4,4,4,4,4,4,3,3,3,5,38,2,2
996,42,0,0.292626672,3,4,0,3,0,4,4,0,2,1,1,21,1,6,4,,,,,,,,,,,,,,,5,1,4,1,1,1,1,4,1,4,1,1,1,5,3,0,0,2,0,1,2,3,2,2,4,2,4,2,4,2,4,4,30,2,2
997,37,0,-1.63175437,4,3,1,6,0,3,5,0,1,2,3,7,7,5,4,5,1,5,1,1,1,1,5,1,5,1,4,1,4,4,1,3,1,2,1,3,5,5,5,1,5,5,1,3,1,0,2,0,1,7,3,3,3,4,4,5,4,3,3,3,3,35,1,3
998,33,0,2.92483662,5,5,5,6,0,10,1,1,1,2,3,17,1,6,5,5,3,4,3,1,1,4,5,4,5,2,5,4,5,4,4,5,3,5,3,5,4,4,4,1,5,3,2,6,2,1,2,1,1,5,1,4,4,2,4,4,5,4,4,4,5,40,2,2
999,29,0,1.152078482,2,3,0,6,0,10,2,1,1,2,1,15,5,7,5,,,,,,,,5,5,5,1,5,1,1,1,1,1,2,1,1,1,5,5,4,3,5,1,5,3,0,1,2,1,3,3,2,3,1,1,1,5,1,5,3,1,3,24,2,3
1000,27,0,-1.262140003,3,3,5,3,0,3,3,2,5,2,6,8,5,8,3,,,,,,,,2,1,4,3,1,1,1,2,1,4,3,1,1,1,2,1,4,3,1,1,5,3,2,0,1,0,1,3,1,3,3,1,1,3,1,5,4,5,1,27,2,2
1002,26.31578947,0,2.06538481,4,4,5,6,0,5,2,1,1,2,2,14,5,7,4,,,,,,,,,,,,,,,5,,5,3,5,1,3,5,5,5,4,5,1,1,9,0,1,2,1,1,2,1,4,1,1,3,3,2,1,1,2,1,19,2,2
1003,33,0,0.510618135,3,4,5,6,1,7,4,0,1,2,1,13,1,6,3,5,1,5,3,1,1,1,4,3,5,3,5,2,4,3,4,5,4,5,2,3,4,2,4,2,5,1,2,3,0,0,2,1,1,3,1,4,1,1,4,5,4,5,2,4,5,35,2,2
1004,25,0,1.370069945,2,3,5,2,0,7,5,0,1,2,2,20,5,7,5,,,,,,,,5,,5,1,5,1,1,3,,5,1,4,1,1,3,3,3,3,1,1,5,3,1,0,2,0,2,4,2,3,4,2,3,3,4,3,4,3,4,33,2,2
1005,23,0,2.229521755,2,3,0,1,0,5,5,0,1,1,2,15,5,8,4,,,,,,,,5,5,5,3,5,4,1,3,3,3,2,1,1,1,5,5,5,2,5,1,5,3,1,0,1,1,3,7,1,2,2,2,3,5,1,5,4,2,4,30,2,1
1006,29,0,2.229521755,5,7,5,1,0,25,5,0,1,1,3,17,1,5,4,4,1,5,1,1,1,1,5,1,5,1,5,1,1,4,1,4,1,4,1,1,5,1,1,1,4,1,5,5,1,0,2,0,1,5,2,4,3,3,3,3,4,3,3,3,3,32,2,2
1007,22,0,2.92483662,3,4,5,5,0,12,4,0,1,1,1,17,5,7,5,,,,,,,,3,5,5,2,5,5,3,2,4,4,1,1,1,1,4,5,5,1,5,4,5,10,1,1,1,1,4,4,3,3,3,2,3,3,4,3,3,3,4,31,2,2
1008,41,0,-0.554311097,3,4,2,5,0,12,5,0,1,1,1,17,2,6,4,4,1,1,1,1,1,1,4,4,5,1,5,3,1,4,3,4,1,4,1,1,4,5,5,1,5,1,5,6,0,0,3,0,1,2,3,4,1,2,1,3,4,4,3,4,4,30,2,2
1009,55,0,1.370069945,2,1,0,1,0,3,4,0,1,1,1,6,6,6,3,,,,,,,,,,,,,,,2,2,2,2,2,1,1,5,5,5,2,5,2,5,3,0,0,1,0,2,4,4,3,1,1,1,3,3,3,1,5,1,22,2,2
1010,55,1,-2.273214717,3,2,3,2,0,3,3,1,4,1,4,8,5,8,1,,,,,,,,5,1,5,1,1,1,5,3,1,5,2,1,1,3,5,1,5,3,1,1,1,3,2,0,1,0,1,1,3,1,5,1,,3,3,3,3,1,3,23,2,1
1011,29,1,1.370069945,1,1,0,1,0,1,5,0,1,1,2,12,2,6,3,5,5,5,1,1,1,1,,,,,,,,5,1,1,1,4,1,4,4,4,1,1,4,1,1,2,1,0,2,0,1,1,1,1,1,5,1,5,4,3,3,5,3,31,2,2
1012,45,0,1.847393347,2,3,1,2,1,5,2,1,1,2,2,12,5,8,4,,,,,,,,,,,,,,,4,4,3,3,1,1,1,5,5,4,3,5,1,2,4,1,0,3,1,4,4,1,4,2,2,4,2,5,2,3,5,3,32,2,1
1014,28,0,2.06538481,2,5,0,4,0,8,1,2,1,2,1,9,5,7,3,,,,,,,,5,4,5,1,1,1,1,4,4,5,2,1,1,1,5,1,5,2,1,1,5,4,1,0,3,0,1,7,1,1,1,1,1,1,1,5,1,5,1,18,3,3
1015,52.63157895,0,-4.687433203,,2,0,4,0,4,3,1,3,1,1,18,4,6,4,3,1,5,1,1,1,1,,,,,,,,3,2,1,1,2,1,1,4,3,4,1,3,1,3,0,2,0,2,0,1,3,4,4,4,3,2,3,3,3,2,4,3,31,2,2
1016,53,1,4.425748778,3,4,2,3,0,40,4,0,4,1,4,12,6,6,3,,,,,,,,5,5,5,1,5,5,2,3,5,5,3,3,,3,3,4,3,1,5,3,3,3,1,0,2,0,1,2,4,4,4,5,1,3,3,3,1,2,4,30,1,1
1017,41.05263158,0,-0.348833675,1,1,0,3,0,1,5,0,1,2,1,19,5,7,2,,,,,,,,,,,,,,,4,4,5,1,5,1,5,4,4,4,1,4,1,2,1,0,1,2,0,1,1,6,4,4,3,3,3,3,3,3,3,3,32,3,3
1018,50,1,0.292626672,2,2,5,5,0,3,3,2,1,1,1,19,5,6,2,,,,,,,,5,3,5,3,5,3,1,4,3,4,1,4,3,3,3,3,3,2,3,2,5,3,0,0,2,0,3,2,3,3,3,2,1,2,3,3,4,3,4,28,1,2
1019,28,0,1.152078482,5,5,0,1,1,8,5,0,1,2,3,15,5,7,5,5,1,5,4,1,1,1,5,5,5,1,5,5,1,5,5,5,1,5,5,1,5,5,5,1,5,5,5,8,0,0,2,1,1,7,2,5,1,5,1,5,1,5,3,5,3,34,2,2
1021,34,1,-0.348833675,2,2,0,1,0,3,3,1,1,2,2,8,5,8,2,,,,,,,,,,,,,,,3,4,4,1,1,3,4,5,1,4,1,1,1,5,2,0,0,1,0,1,1,2,4,4,5,4,5,4,3,4,5,5,43,1,1
1022,39,0,2.92483662,3,5,5,5,0,10,4,0,1,1,2,15,5,8,4,,,,,,,,5,4,4,1,4,3,1,1,1,1,2,1,2,2,5,5,5,1,4,1,5,4,1,1,3,1,3,3,1,4,4,2,2,3,4,2,5,2,3,31,2,2
1023,27,0,-0.554311097,3,4,0,6,0,10,4,0,1,2,1,18,1,7,4,,,,,,,,4,5,5,3,5,1,5,5,4,5,2,5,1,5,4,4,4,3,4,1,1,4,1,1,1,1,3,7,3,3,1,1,3,5,4,5,2,5,5,34,2,2
1024,40,0,-0.990294023,4,5,0,5,0,5,5,0,1,2,2,10,1,6,4,4,1,3,1,5,1,2,5,1,4,1,5,1,5,4,1,4,1,4,1,4,5,1,2,1,3,1,1,5,0,0,2,0,1,6,3,4,3,4,5,5,5,5,4,4,5,44,2,2
1025,27,0,-0.990294023,4,5,5,1,0,11,5,0,1,2,2,15,1,6,3,,,,,,,,4,5,5,2,5,1,2,3,4,5,2,5,1,1,4,4,4,2,5,1,5,6,1,0,2,0,1,2,1,5,3,3,1,5,1,5,5,4,5,37,2,2
1026,57,0,2.011530292,3,2,5,1,0,2,5,0,1,1,2,14,5,7,4,,,,,,,,4,4,4,1,5,1,1,4,1,4,1,4,1,1,5,4,5,1,5,1,5,5,1,1,2,0,1,4,3,4,3,1,2,3,4,3,4,3,3,30,2,2
1027,28,0,-0.554311097,4,5,0,6,0,12,5,0,1,2,1,9,1,7,4,,,,,,,,4,4,5,1,4,1,1,3,5,5,3,5,1,1,5,4,5,3,4,1,5,5,2,0,2,1,2,5,4,4,1,1,1,3,1,5,1,5,3,25,2,2
1028,38,0,2.229521755,2,2,1,5,0,5,5,0,1,2,2,10,5,8,4,,,,,,,,4,4,5,3,1,4,5,,,,,,,,5,4,5,3,1,1,2,4,1,1,1,1,3,4,1,5,3,3,4,3,3,3,4,2,4,34,2,2
1029,37,0,1.370069945,3,3,3,2,0,4,5,0,1,1,7,16,5,7,3,,,,,,,,5,2,1,1,1,1,1,3,3,5,1,1,1,3,3,3,4,1,1,1,3,4,0,0,2,0,1,7,3,2,1,2,4,5,4,5,3,3,5,34,2,2
1031,60,0,-3.827981392,,,0,1,1,0,3,2,1,1,1,6,2,5,3,4,3,3,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,3,3,3,1,4,1,5,0,,1,1,0,1,7,6,2,3,3,1,4,2,2,3,3,2,25,2,2
1032,45,0,-3.827981392,2,2,0,1,0,4,3,1,1,1,1,3,4,5,3,,,,,,,,,,,,,,,3,2,5,1,4,1,2,4,4,4,1,5,1,1,4,1,1,1,0,1,4,6,4,3,3,4,3,5,5,3,4,5,39,2,2
1033,37,0,0.08714925,1,5,5,6,0,7,5,0,1,1,4,16,1,5,4,5,3,4,1,5,1,1,5,1,1,1,5,1,1,,,,,,,,5,4,3,1,5,1,5,1,0,0,2,1,1,3,3,3,2,3,3,4,4,3,2,4,4,32,2,2
